商品コード,商品名,規格,売上単重
00710RB052,銅直管　Ｏ材,8X0.8X2960,0.479
00710SC000,銅直管　Ｏ材,,0
00710SG000,銅直管　Ｏ材,,0
00710SI000,銅直管　Ｏ材,,0
00710SI061,銅直管　Ｏ材,6.0X0.8X300,0.035
00710SI063,銅直管　Ｏ材,6.0X0.8X800,0.094
00710SI065,銅直管　Ｏ材,6.0X0.8X1000,0.117
00710SI067,銅直管　Ｏ材,6.0X0.8X1400,0.164
00710SI069,銅直管　Ｏ材,6.0X0.8X2000,0.234
00710SI081,銅直管　Ｏ材　T53S015B60,8φX6φX225,0.045
00710SI082,銅直管　Ｏ材　T53S015C60　,8φX6φX265,0.053
00710SI083,銅直管　Ｏ材　T53M021B60　,8φX6φX300,0.059
00710SI084,銅直管　Ｏ材　T53M021D60　,8φX6φX385,0.076
00710SI085,銅直管　Ｏ材　T53M021A61　,8φX6φX445,0.088
00710SI086,銅直管　Ｏ材　T55M378C60　,8φX6φX465,0.092
00710SI087,銅直管　Ｏ材　T53M021C60　,8φX6φX485,0.096
00710SI101,銅直管　Ｏ材,10X0.8X200,0.041
00710SI102,銅直管　Ｏ材,10X0.8X240,0.05
00710SI103,銅直管　Ｏ材,10X0.8X300,0.062
00710SI109,銅直管　Ｏ材,10X0.8X1400,0.29
00710SM000,銅直管　Ｏ材,,0
00710SM061,銅直管　Ｏ材,6.35X0.8X157,0.02
00710SM063,銅直管　Ｏ材,6.35X0.8X202,0.025
00710SM065,銅直管　Ｏ材,6.35X0.8X248,0.031
00710SM121,銅直管　Ｏ材,12.7X0.9X5000,1.492
00710SN000,銅直管　Ｏ材,,0
00710SN001,銅直管　Ｏ材,8X1.0X3000,0.59
00710SO000,銅直管　Ｏ材,,0
00710SS000,銅直管　Ｏ材,,0
00710SS058,銅直管　Ｏ材,05.88X0.6X866.7,0.077
00710SS061,銅直管　Ｏ材,6X0.6X110.5,0.01
00710SS081,銅直管　Ｏ材,8X0.8X130,0.021
00710SS095,銅直管　Ｏ材,9.52X0.6X1000,0.15
00710SS121,銅直管　Ｏ材,12.7X0.6X80.6,0.016
00710SS123,銅直管　Ｏ材,12.7X0.6X120,0.024
00710SS125,銅直管　Ｏ材,12.7X0.6X133,0.027
00710SS127,銅直管　Ｏ材,12.7X0.6X164.1,0.033
00710SS129,銅直管　Ｏ材,12.7X0.6X165.6,0.034
00710SS131,銅直管　Ｏ材,12.7X0.6X166.5,0.034
00710SS133,銅直管　Ｏ材,12.7X0.6X174,0.035
00710SS135,銅直管　Ｏ材,12.7X0.6X178.7,0.036
00710SS137,銅直管　Ｏ材,12.7X0.6X184.8,0.038
00710SS139,銅直管　Ｏ材,12.7X0.6X185,0.038
00710SS141,銅直管　Ｏ材,12.7X0.6X187.2,0.038
00710SS143,銅直管　Ｏ材,12.7X0.6X188.2,0.038
00710SS145,銅直管　Ｏ材,12.7X0.6X194,0.04
00710SS147,銅直管　Ｏ材,12.7X0.6X197,0.04
00710SS149,銅直管　Ｏ材,12.7X0.6X207.2,0.042
00710SS151,銅直管　Ｏ材,12.7X0.6X219,0.045
00710SS153,銅直管　Ｏ材,12.7X0.6X226.7,0.046
00710SS157,銅直管　Ｏ材,12.7X0.6X232.4,0.047
00710SS159,銅直管　Ｏ材,12.7X0.6X235,0.048
00710SS161,銅直管　Ｏ材,12.7X0.6X243,0.05
00710SS163,銅直管　Ｏ材,12.7X0.6X245,0.05
00710SS167,銅直管　Ｏ材,12.7X0.6X246.4,0.05
00710SS169,銅直管　Ｏ材,12.7X0.6X251,0.051
00710SS171,銅直管　Ｏ材,12.7X0.6X284.5,0.058
00710SS173,銅直管　Ｏ材,12.7X0.6X295,0.06
00710SS175,銅直管　Ｏ材,12.7X0.6X317,0.065
00710SS177,銅直管　Ｏ材,12.7X0.6X350.6,0.072
00710SS179,銅直管　Ｏ材,12.7X0.6X1000,0.204
00710SS181,銅直管　Ｏ材,12.7X0.6X1100,0.224
00710SS191,銅直管　Ｏ材,12.7X0.8X75.1,0.02
00710SS193,銅直管　Ｏ材,12.7X0.8X75.5,0.02
00710SS195,銅直管　Ｏ材,12.7X0.8X110,0.029
00710SS197,銅直管　Ｏ材,12.7X0.8X130,0.035
00710SS201,銅直管　Ｏ材,14X0.8X111,0.033
00710SS301,銅直管　Ｏ材,15.8X0.6X569.5,0.146
00710SS303,銅直管　Ｏ材,15.8X0.6X662.5,0.17
00710SS305,銅直管　Ｏ材,15.8X0.6X669.5,0.172
00710SS307,銅直管　Ｏ材,15.8X0.6X866.7,0.222
00710SS309,銅直管　Ｏ材,15.8X0.6X905.5,0.232
00710SS311,銅直管　Ｏ材,15.88X0.6X150,0.039
00710SS313,銅直管　Ｏ材,15.88X0.6X397,0.102
00710SS315,銅直管　Ｏ材,15.88X0.6X569.5,0.147
00710SS317,銅直管　Ｏ材,15.88X0.6X662,0.171
00710SS319,銅直管　Ｏ材,15.88X0.6X662.5,0.171
00710SS321,銅直管　Ｏ材,15.88X0.6X669.5,0.172
00710SS323,銅直管　Ｏ材,15.88X0.6X859,0.221
00710SS325,銅直管　Ｏ材,15.88X0.6X866.7,0.223
00710SS327,銅直管　Ｏ材,15.88X0.6X905.5,0.233
00710SS329,銅直管　Ｏ材,15.88X0.6X983,0.253
00710SS331,銅直管　Ｏ材,15.88X0.6X997,0.257
00710SS333,銅直管　Ｏ材,15.88X0.6X1149,0.296
00710SS335,銅直管　Ｏ材,15.88X0.6X1154,0.297
00710SS337,銅直管　Ｏ材,15.88X0.6X1164,0.3
00710SS339,銅直管　Ｏ材,15.88X0.6X1199,0.309
00710SS341,銅直管　Ｏ材,15.88X0.6X1200,0.309
00710SS343,銅直管　Ｏ材,15.88X0.6X1212,0.312
00710SS345,銅直管　Ｏ材,15.88X0.6X1246,0.321
00710SS347,銅直管　Ｏ材,15.88X0.6X1260,0.325
00710SS349,銅直管　Ｏ材,15.88X0.6X1263,0.325
00710SS351,銅直管　Ｏ材,15.88X0.6X1300,0.335
00710SS353,銅直管　Ｏ材,15.88X0.6X1440,0.371
00710SS355,銅直管　Ｏ材,15.88X0.6X1484,0.382
00710SS357,銅直管　Ｏ材,15.88X0.6X1489,0.384
00710SS359,銅直管　Ｏ材,15.88X0.6X1584,0.408
00710SS361,銅直管　Ｏ材,15.88X0.6X1600,0.412
00710SS363,銅直管　Ｏ材,15.88X0.6X1154L,0.297
00710SS365,銅直管　Ｏ材,15.88X0.6X1300L,0.335
00710SS367,銅直管　Ｏ材,15.88X0.6X1489L,0.384
00710SS369,銅直管　Ｏ材,15.88X0.6X1600L,0.412
00710SS371,銅直管　Ｏ材,15.88X0.8X100,0.034
00710SS373,銅直管　Ｏ材,15.88X0.8X795,0.27
00710SS375,銅直管　Ｏ材,19.05X0.8X345,0.142
00710SS377,銅直管　Ｏ材,19.05X0.8X724,0.297
00710SS379,銅直管　Ｏ材,19.05X0.8X725,0.297
00710SS381,銅直管　Ｏ材,19.05X0.8X771,0.316
00710SS383,銅直管　Ｏ材,19.05X0.8X772,0.317
00710SS401,銅直管　Ｏ材,20X1.0X150,0.08
00710SS403,銅直管　Ｏ材,20X1.0X240,0.128
00710SS405,銅直管　Ｏ材,20X1.0X1500,0.801
00710SU000,銅直管　Ｏ材,,0
00710SU061,銅直管　Ｏ材,6.35X1.0X5000,0.752
00710SU081,銅直管　Ｏ材,8.0X1.0X5000,0.984
00710SU083,銅直管　Ｏ材,8.0X1.02X5000,1
00710SW001,銅直管　Ｏ材,,0
00710TA000,銅直管　Ｏ材,,0
00710TA032,銅直管　Ｏ材,3.2X0.6X600,0.026
00710TJ000,銅直管　Ｏ材,,0
00710TY001,銅直管　Ｏ材,,0
00710TZ010,銅直管　Ｏ材,,0
00710UN000,銅直管　Ｏ材,,0
00710US000,銅直管　Ｏ材,,0
00710US024,銅直管　Ｏ材,2.4X0.8X2000,0.072
00710YN000,銅直管　Ｏ材,,0
0090000000,銅直管　ＳＨ材,,0
0090112710,銅直管　ＳＨ材,12.7X0.8X5000,1.338
00910HS000,銅直管　ＳＨ材,,0
00910HS121,銅直管　ＳＨ材,12.7X0.89X5000,1.477
00910HS141,銅直管　ＳＨ材,14X0.8X5000,1.484
00910HS221,銅直管　ＳＨ材,22.23X1.14X5000,3.378
00910II003,銅直管　ＳＨ材,15.88X0.9X3130,1.186
00910KB000,銅直管　ＳＨ材,,0
00910KS000,銅直管　ＳＨ材,,0
00910KS150,銅直管　ＳＨ材,15X0.6X5000,1.214
00910KU000,銅直管　ＳＨ材,,0
00910KU127,銅直管　ＳＨ材,12.7X0.89X3000,0.886
0100000000,銅管　Ｌ．Ｗ．Ｃ,,0
0100114010,銅管　Ｌ．Ｗ．Ｃ,14.03X0.6X646M,148
0100115010,銅管　Ｌ．Ｗ．Ｃ,15X1.0X298M,117.2
0100115020,銅管　Ｌ．Ｗ．Ｃ,15X2.0X164M,119.6
01010FT001,銅管　Ｌ．Ｗ．Ｃ,4.76X0.6XL.W.C,0
01010FT002,銅管　Ｌ．Ｗ．Ｃ,6X0.6XL.W.C,0
01010FT003,銅管　Ｌ．Ｗ．Ｃ,6.35X0.8XL.W.C,0
01010FT004,銅管　Ｌ．Ｗ．Ｃ,7X0.7XL.W.C,0
01010FT005,銅管　Ｌ．Ｗ．Ｃ,7.94X0.6XL.W.C,0
01010FT006,銅管　Ｌ．Ｗ．Ｃ,10X1.0XL.W.C,0
01010FT007,銅管　Ｌ．Ｗ．Ｃ,12.7X0.8XL.W.C,0
01010FT008,銅管　Ｌ．Ｗ．Ｃ,9.52X0.7XL.W.C,0
01010FT009,銅管　Ｌ．Ｗ．Ｃ,9.52X0.8XL.W.C,0
01010FT010,銅管　Ｌ．Ｗ．Ｃ,6.35X0.7XL.W.C,0
01010FT011,銅管　Ｌ．Ｗ．Ｃ,7.94X0.7XL.W.C,0
01010HD000,銅管　Ｌ．Ｗ．Ｃ,,0
01010HK000,銅管　Ｌ．Ｗ．Ｃ,,0
01010HK010,銅管　Ｌ．Ｗ．Ｃ　ZTCCJ999,12.7X0.7XL.W.C,0
01010HK020,銅管　Ｌ．Ｗ．Ｃ,16.03X0.8XL.W.C,0
01010HK060,銅管　Ｌ．Ｗ．Ｃ　ZTC3K999,6X0.6XL.W.C.,0
01010HK126,銅管　Ｌ．Ｗ．Ｃ,12.7X0.7X,0
01010HK127,銅管　Ｌ．Ｗ．Ｃ,OL 12.73X0.7X,0
01010HK155,銅管　Ｌ．Ｗ．Ｃ,15.91X0.6X,0
01010HK161,銅管　Ｌ．Ｗ．Ｃ,OL 16.03X0.8X,0
01010HR000,銅管　Ｌ．Ｗ．Ｃ,,0
01010IS000,銅管　Ｌ．Ｗ．Ｃ,,0
01010IS085,銅管　Ｌ．Ｗ．Ｃ,8.5X1.1X,0
01010IS130,銅管　Ｌ．Ｗ．Ｃ,13X0.9X,0
01010IS131,銅管　Ｌ．Ｗ．Ｃ,13X1.1X,0
01010IS191,銅管　Ｌ．Ｗ．Ｃ,19X1.0X,0
01010IS193,銅管　Ｌ．Ｗ．Ｃ,19X1.3X,0
01010IS197,銅管　Ｌ．Ｗ．Ｃ,19X1.7X,0
01010IS199,銅管　Ｌ．Ｗ．Ｃ,19X2.0X,0
01010IW001,銅管　Ｌ．Ｗ．Ｃ,7.94X0.3XL.W.C,0
01010KA000,銅管　Ｌ．Ｗ．Ｃ,,0
01010KA095,銅管　Ｌ．Ｗ．Ｃ,9.52X0.41X,0
01010KD000,銅管　Ｌ．Ｗ．Ｃ,,0
01010KD121,銅管　Ｌ．Ｗ．Ｃ,12.73X1.0X,0
01010KO080,銅管　Ｌ．Ｗ．Ｃ,8X0.8X,0
01010KO125,銅管　Ｌ．Ｗ．Ｃ,12.73X0.7X,0
01010KW000,銅管　Ｌ．Ｗ．Ｃ,,0
01010KW005,銅管　Ｌ．Ｗ．Ｃ,12.7X0.6XL.W.C,0
01010KW010,銅管　Ｌ．Ｗ．Ｃ,16X0.7XL.W.C,0
01010KW160,銅管　Ｌ．Ｗ．Ｃ,16X0.7X,0
01010KX000,銅管　Ｌ．Ｗ．Ｃ,,0
01010KX014,銅管　Ｌ．Ｗ．Ｃ,10X1.4XM(K),150
01010KX114,銅管　Ｌ．Ｗ．Ｃ,10X1.4X,0
01010KX116,銅管　Ｌ．Ｗ．Ｃ,10X1.6X,0
01010KX120,銅管　Ｌ．Ｗ．Ｃ,12X1.6X,0
01010KY000,銅管　Ｌ．Ｗ．Ｃ,,0
01010KY127,銅管　Ｌ．Ｗ．Ｃ,12.73X0.6X,0
01010MX000,銅管　Ｌ．Ｗ．Ｃ,,0
01010MX010,銅管　Ｌ．Ｗ．Ｃ,12X0.5X1240MUPLWC,500
01010MX015,銅管　Ｌ．Ｗ．Ｃ,12X0.7X900MUPLWC,500
01010MX020,銅管　Ｌ．Ｗ．Ｃ,12X0.8X1240MUPLWC,500
01010MX025,銅管　Ｌ．Ｗ．Ｃ,12X0.9X900MUPLWC,500
01010MX030,銅管　Ｌ．Ｗ．Ｃ,15.3X0.5X950MUPLWC,500
01010MX035,銅管　Ｌ．Ｗ．Ｃ,15.3X0.6X800MUPLWC,500
01010MX040,銅管　Ｌ．Ｗ．Ｃ,15.3X0.7X700MUPLWC,500
01010MX045,銅管　Ｌ．Ｗ．Ｃ,15.3X0.8X610MUPLWC,500
01010MX050,銅管　Ｌ．Ｗ．Ｃ,15.3X0.9X700MUPLWC,500
01010MX055,銅管　Ｌ．Ｗ．Ｃ,16.3X0.6X750MUPLWC,500
01010MX060,銅管　Ｌ．Ｗ．Ｃ,16.3X0.8X750MUPLWC,500
01010MX065,銅管　Ｌ．Ｗ．Ｃ,16.3X0.9X700MUPLWC,500
01010NT000,銅管　Ｌ．Ｗ．Ｃ,,0
01010NT001,銅管　Ｌ．Ｗ．Ｃ,9.53X0.5XL.W.C,0
01010NT002,銅管　Ｌ．Ｗ．Ｃ　ジャンボ,9.53X0.41XL.W.C,0
01010NT003,銅管　Ｌ．Ｗ．Ｃ,9.53X0.8XL.W.C,0
01010NT004,銅管　Ｌ．Ｗ．Ｃ,15.88X0.5XL.W.C,0
01010NT005,銅管　Ｌ．Ｗ．Ｃ　ジャンボ,9.52X0.32XL.W.C,0
01010NT006,銅管　Ｌ．Ｗ．Ｃ　ジャンボ,15.6X0.5XL.W.C,0
01010NT007,銅管　Ｌ．Ｗ．Ｃ,15.88X0.6XL.W.C,0
01010NT008,銅管　Ｌ．Ｗ．Ｃ,12.7X0.5XL.W.C,0
01010NT009,銅管　Ｌ．Ｗ．Ｃ,12.7X0.6XL.W.C,0
01010NT010,銅管　Ｌ．Ｗ．Ｃ,9.53X0.5XL.W.C(HRST),0
01010NT011,銅管　Ｌ．Ｗ．Ｃ,15.6X0.6XL.W.C,0
01010NT012,銅管　Ｌ．Ｗ．Ｃ　ジャンボ,15.88X0.8XL.W.C,0
01010NT013,銅管　Ｌ．Ｗ．Ｃ　ピコレス,15.6X0.6XL.W.C,0
01010NT014,銅管　Ｌ．Ｗ．Ｃ　ピコレス,9.53X0.5XL.W.C,0
01010NT015,銅管　Ｌ．Ｗ．Ｃ　ピコレス,15.88X0.6XL.W.C,0
01010NT016,銅管　Ｌ．Ｗ．Ｃ,15.88X0.45XL.W.C,0
01010OT000,銅管　Ｌ．Ｗ．Ｃ,,0
01010OT063,銅管　Ｌ．Ｗ．Ｃ,6.35X0.8X,0
01010RB111,銅管　Ｌ．Ｗ．Ｃ,12.7X0.6XL.W.C,0
01010RB112,銅管　Ｌ．Ｗ．Ｃ,16x0.7xL.W.C,0
01010SC000,銅管　Ｌ．Ｗ．Ｃ,,0
01010SC001,銅管　Ｌ．Ｗ．Ｃ,15.88X0.7XL.W.C,0
01010SC002,銅管　Ｌ．Ｗ．Ｃ,15.88X0.8XL.W.C,0
01010SC003,銅管　Ｌ．Ｗ．Ｃ,15.88X1.0XL.W.C,0
01010SC004,銅管　Ｌ．Ｗ．Ｃ,15.88X0.6XL.W.C,0
01010SH000,銅管　Ｌ．Ｗ．Ｃ,,0
01010SH011,銅管　Ｌ．Ｗ．Ｃ,8X0.8XL.W.C,0
01010SH012,銅管　Ｌ．Ｗ．Ｃ,9.53X0.8XL.W.C,0
01010SH013,銅管　Ｌ．Ｗ．Ｃ,6X0.8XL.W.C,0
01010SH014,銅管　Ｌ．Ｗ．Ｃ,8X0.4XL.W.C,0
01010SH015,銅管　Ｌ．Ｗ．Ｃ,9.52X0.4XL.W.C,0
01010SK000,銅管　Ｌ．Ｗ．Ｃ,,0
01010SK001,銅管　Ｌ．Ｗ．Ｃ,15X0.8XL.W.C,0
01010SK002,銅管　Ｌ．Ｗ．Ｃ,15X0.5XL.W.C,0
01010SK003,銅管　Ｌ．Ｗ．Ｃ,15.5X0.5XL.W.C,0
01010SK004,銅管　Ｌ．Ｗ．Ｃ,15.5X0.6XL.W.C,0
01010SK005,銅管　Ｌ．Ｗ．Ｃ　(仕様書№KS),15.5X0.8XL.W.C,0
01010SK006,銅管　Ｌ．Ｗ．Ｃ,15.5X1.0XL.W.C,0
01010SK007,銅管　Ｌ．Ｗ．Ｃ,15.5X1.2XL.W.C,0
01010SK008,銅管　Ｌ．Ｗ．Ｃ,15.88X0.8XL.W.C,0
01010SS000,銅管　Ｌ．Ｗ．Ｃ,,0
01010SS155,銅管　Ｌ．Ｗ．Ｃ,15.88X0.6X,0
01010SZ000,銅管　Ｌ．Ｗ．Ｃ,,0
0110000010,銅　コイル管,,0
0110102010,銅　コイル管(ｷｬﾋﾟﾗﾘｰﾁｭｰﾌﾞ),2X(ID)0.8X20M,0.472
0110102510,銅　コイル管(ｷｬﾋﾟﾗﾘｰﾁｭｰﾌﾞ),2.5X(ID)1.2X10M,0.338
0110103010,銅　コイル管,3X0.5X20M,0.703
0110103012,銅　コイル管(ｷｬﾋﾟﾗﾘｰﾁｭｰﾌﾞ),3X(ID)1.4X20M,0.989
0110103013,銅　コイル管,3.2X0.5X10M,0.351
0110104020,銅　コイル管,4X0.5X10M,0.492
0110104040,銅　コイル管,4X0.5X20M,0.984
0110104050,銅　コイル管,4X0.8X10M,0.719
0110104060,銅　コイル管,4X0.8X20M,1.439
0110104080,銅　コイル管,4X1.0X10M,0.843
0110104100,銅　コイル管,4X1.0X20M,1.686
0110104120,銅　コイル管,4.76X0.8X20M,1.78
0110105020,銅　コイル管,5X0.8X5M,0.472
0110105040,銅　コイル管,5X0.8X20M,1.888
0110105060,銅　コイル管,5X1.0X20M,2.248
0110106020,銅　コイル管,6X0.8X10M,1.169
0110106040,銅　コイル管,6X0.8X20M,2.338
0110106045,銅　コイル管（バンチ巻）,6X0.8X20M,2.338
0110106060,銅　コイル管,6X1.0X10M,1.405
0110106080,銅　コイル管,6X1.0X20M,2.81
0110106083,銅　コイル管（ＵＡＣＪ）,6X1.0X20M,2.81
0110106084,銅　コイル管（バンチ巻）,6X1.0X20M,2.81
0110106085,銅　コイル管（バンチ巻Ｄ）,6X1.0X20M,2.81
0110106100,銅　コイル管,6X1.0X30M,4.215
0110106120,銅　コイル管,6X1.0X50M,7.025
0110106140,銅　コイル管,6X1.0X100M,14.05
0110106150,銅　コイル管,6X1.2X20M,3.237
0110106160,銅　コイル管,6X1.2X30M,4.856
0110106180,銅　コイル管,6.35X0.8X10M,1.248
0110106200,銅　コイル管,6.35X0.8X20M,2.495
0110106205,銅　コイル管（バンチ巻）,6.35X0.8X20M,2.495
0110106206,銅　コイル管（バンチ巻Ｄ）,6.35X0.8X20M,2.495
0110106220,銅　コイル管,6.35X1.0X10M,1.503
0110106240,銅　コイル管,6.35X1.0X20M,3.007
0110106300,銅　コイル管,6.35X1.2X10M*,1.737
0110108020,銅　コイル管,8X0.8X10M,1.619
0110108040,銅　コイル管,8X0.8X20M,3.237
0110108045,銅　コイル管（バンチ巻）,8X0.8X20M,3.237
0110108060,銅　コイル管,8X1.0X5M,0.984
0110108080,銅　コイル管,8X1.0X10M,1.967
0110108100,銅　コイル管,8X1.0X20M,3.934
0110108103,銅　コイル管（ＵＡＣＪ）,8X1.0X20M,3.934
0110108104,銅　コイル管（バンチ巻）,8X1.0X20M,3.934
0110108105,銅　コイル管（バンチ巻Ｄ）,8X1.0X20M,3.934
0110108120,銅　コイル管,8X1.0X30M,5.901
0110108140,銅　コイル管,8X1.0X50M,9.835
0110108160,銅　コイル管,8X1.0X100M,19.67
0110108180,銅　コイル管,8X1.2X20M,4.586
0110108200,銅　コイル管,8X1.2X30M,6.879
0110108220,銅　コイル管,8X1.5X20M,5.48
0110109020,銅　コイル管,9.52X0.8X10M,1.96
0110109040,銅　コイル管,9.52X0.8X20M,3.921
0110109045,銅　コイル管（バンチ巻）,9.52X0.8X20M,3.921
0110109050,銅　コイル管,9.52X0.8X50M,9.801
0110109060,銅　コイル管,9.52X1.0X5M,1.197
0110109080,銅　コイル管,9.52X1.0X10M,2.394
0110109100,銅　コイル管,9.52X1.0X20M,4.788
0110109105,銅　コイル管,9.52X1.2X10M*,2.806
0110109110,銅　コイル管,9.52X1.2X20M,5.611
0110110020,銅　コイル管,10X0.8X10M,2.068
0110110040,銅　コイル管,10X0.8X20M,4.136
0110110060,銅　コイル管,10X1.0X10M,2.529
0110110063,銅　コイル管（ＵＡＣＪ）,10X1.0X10M,2.529
0110110080,銅　コイル管,10X1.0X20M,5.058
0110110083,銅　コイル管（ＵＡＣＪ）,10X1.0X20M,5.058
0110110085,銅　コイル管（バンチ巻）,10X1.0X20M,5.058
0110110086,銅　コイル管（バンチ巻Ｄ）,10X1.0X20M,5.058
0110110100,銅　コイル管,10X1.0X30M,7.587
0110110103,銅　コイル管（ＫＮ）,10X1.0X30M,7.587
0110110120,銅　コイル管,10X1.0X50M,12.645
0110110130,銅　コイル管,10X1.0X90M,22.761
0110110140,銅　コイル管,10X1.2X20M,5.935
0110110160,銅　コイル管,10X1.2X30M,8.902
0110110163,銅　コイル管（ＫＮ）,10X1.2X30M,8.902
0110110180,銅　コイル管,10X1.4X30M,10.15
0110110200,銅　コイル管,10X1.5X10M,3.583
0110110220,銅　コイル管,10X1.5X20M,7.166
0110110240,銅　コイル管,10X1.5X30M,10.748
0110110245,銅　コイル管（ＫＮ）,10X1.5X30M,10.748
0110110260,銅　コイル管,10X1.6X30M,11.33
0110110280,銅　コイル管,10X2.0X30M,13.488
0110112020,銅　コイル管,12X1.0X5M,1.546
0110112040,銅　コイル管,12X1.0X10M,3.091
0110112060,銅　コイル管,12X1.0X20M,6.182
0110112063,銅　コイル管（ＮＪＴ）,12X1.0X20M,6.182
0110112065,銅　コイル管（バンチ巻Ｄ）,12X1.0X20M,6.182
0110112080,銅　コイル管,12X1.0X30M,9.273
0110112100,銅　コイル管,12X1.0X50M,15.455
0110112110,銅　コイル管,12X1.0X60M,18.546
0110112120,銅　コイル管,12X1.2X20M,7.284
0110112140,銅　コイル管,12X1.2X30M,10.925
0110112160,銅　コイル管,12X1.5X20M,8.852
0110112180,銅　コイル管,12X1.5X30M,13.277
0110112200,銅　コイル管,12X1.6X30M,14.028
0110112220,銅　コイル管,12X2.0X30M,16.86
0110112240,銅　コイル管,12.7X0.8X10M,2.675
0110112260,銅　コイル管,12.7X0.8X20M,5.35
0110112265,銅　コイル管（バンチ巻）,12.7X0.8X20M,5.35
0110112266,銅　コイル管（バンチ巻Ｄ）,12.7X0.8X20M,5.35
0110112267,銅　コイル管（バンチ巻）,12.7X0.8X60M,16.051
0110112280,銅　コイル管,12.7X1.0X10M,3.288
0110112300,銅　コイル管,12.7X1.0X20M,6.575
0110112320,銅　コイル管,12.7X1.2X20M,7.756
0110112325,銅　コイル管,12.7X1.4X10M*,4.445
0110112330,銅　コイル管,12.7X1.4X20M,8.891
0110112340,銅　コイル管,12.7X1.5X20M,9.442
0110114020,銅　コイル管,14X1.0X20M,7.306
0110115020,銅　コイル管,15X1.0X20M,7.868
0110115040,銅　コイル管,15X1.0X30M,11.802
0110115060,銅　コイル管,15X1.2X30M,13.96
0110115080,銅　コイル管,15X1.4X30M,16.051
0110115100,銅　コイル管,15X1.5X30M,17.071
0110115120,銅　コイル管,15X1.6X15M,9.037
0110115140,銅　コイル管,15X1.6X30M,18.074
0110115160,銅　コイル管,15X2.0X25M,18.265
0110115180,銅　コイル管,15X2.0X30M,21.918
0110115200,銅　コイル管,15.88X0.8X20M,6.78
0110115220,銅　コイル管,15.88X1.0X10M,4.181
0110115240,銅　コイル管,15.88X1.0X20M,8.363
0110115245,銅　コイル管（バンチ巻）,15.88X1.0X20M,8.363
0110115247,銅　コイル管（バンチ巻）,15.88X1.0X40M,16.725
0110116100,銅　コイル管,16X2.0X20M,15.736
0110116200,銅　コイル管,16X2.0X30M,23.604
0110119020,銅　コイル管,19.05X0.8X20M,8.205
0110119040,銅　コイル管,19.05X1.0X10M,5.072
0110119060,銅　コイル管,19.05X1.0X20M,10.144
0110119065,銅　コイル管（バンチ巻）,19.05X1.0X20M,10.144
0110119080,銅　コイル管,19.05X1.2X20M,12.038
0110120020,銅　コイル管,20X2.0X20M,20.232
0110122020,銅　コイル管,22.22X1.0X10M,5.963
0110122040,銅　コイル管,22.22X1.0X20M,11.931
0110206080,銅　コイル管（ＮＷ）,6X1.0X20M,2.81
0110206090,銅　コイル管（ＮＷ）,6X1.0X30M,4.215
0110206200,銅　コイル管（ＮＷ）,6.35X0.8X20M,2.495
0110208100,銅　コイル管（ＮＷ）,8X1.0X20M,3.934
0110208110,銅　コイル管（ＮＷ）,8X1.0X30M,5.901
0110208125,銅　コイル管（ＮＷ）,8X1.0X25M,4.918
0110209040,銅　コイル管（ＮＷ）,9.52X0.8X20M,3.921
0110210040,銅　コイル管（ＮＷ）,10X0.8X20M,4.136
0110210060,銅　コイル管（ＮＷ）,10X1.0X10M,2.529
0110210080,銅　コイル管（ＮＷ）,10X1.0X20M,5.058
0110210090,銅　コイル管（ＮＷ）,10X1.0X30M,7.587
0110210120,銅　コイル管（ＮＷ）,10X1.2X25M,6.323
0110210125,銅　コイル管（ＮＷ）,10X1.0X25M,6.323
0110210160,銅　コイル管（ＮＷ）,10X1.2X30M,8.902
0110212100,銅　コイル管（ＮＷ）,12X1.0X50M,15.455
0111000010,銅　コイル管（製作品）,,0
01110AT000,銅　コイル管,,0
01110AT010,銅　コイル管（バンチ巻）,6.0X1.0X30M,4.215
01110AT020,銅　コイル管（バンチ巻）,10X1.0X30M,7.587
01110AT030,銅　コイル管（バンチ巻）,10X1.6X30M,11.33
01110DS000,銅　コイル管,,0
01110FS080,銅　コイル管,19.05X1.2X20M,12.038
01110FU080,銅　コイル管,19.05X1.2X20M,12.038
01110GS010,銅　コイル管,,0
01110IG000,銅　コイル管,,0
01110IG001,銅　コイル管,10X0.8X90M,18.613
01110IG002,銅　コイル管,12X1.0X60M,18.546
01110IG003,銅　コイル管,10X1.0X44M,11.128
01110IG004,銅　コイル管,10X0.8X15M,3.102
01110IS000,銅　コイル管,,0
01110IS040,銅　コイル管,4X0.5X10M,0.492
01110IS043,銅　コイル管,4X0.8X20M,1.439
01110IS060,銅　コイル管,6X0.8X20M,2.338
01110IS061,銅　コイル管,6X1.0X10M,1.405
01110IS063,銅　コイル管,6X1.0X20M,2.81
01110IS065,銅　コイル管,6X1.5X20M,3.794
01110IS068,銅　コイル管,6X1.0X100M,14.05
01110IS071,銅　コイル管,6.35X1.0X20M,3.007
01110IS080,銅　コイル管,8X0.8X20M,3.237
01110IS083,銅　コイル管,8X1.0X10M,1.967
01110IS085,銅　コイル管,8X1.0X20M,3.934
01110IS087,銅　コイル管,8X2.0X20M,6.744
01110IS089,銅　コイル管,8X1.0X100M,19.67
01110IS101,銅　コイル管,10X1.0X10M,2.529
01110IS105,銅　コイル管,10X1.0X20M,5.058
01110IS107,銅　コイル管,10X2.0X20M,8.992
